title,open,rev,budget,ad,rating,scrn,sequel
HOTEL RWANDA,12/22/2004,28591606,21263670,18465612,8.1,342,NoSeq
HOUSE OF 1000 CORPSES,4/11/2003,15773985,8739076,4092385,5.8,329,NoSeq
HOUSE OF FLYING DAGGERS,12/3/2004,13426603,14580802,11094654,7.5,221,NoSeq
HOUSE OF SAND AND FOG,12/19/2003,16280010,20599250,17204618,7.8,271,NoSeq
HOUSE OF THE DEAD,10/10/2003,12796154,14981273,7396132,2,862,NoSeq
HOUSE OF WAX,5/6/2005,37678964,47003524,17631022,5.4,1020,NoSeq
HOW TO DEAL,7/18/2003,17721882,19975032,15912608,5.4,1482,NoSeq
HOW TO LOSE A GUY IN 10 DAYS,2/7/2003,132101592,62421972,38198504,6.1,1019,NoSeq
HULK,6/20/2003,165015280,171036208,39820596,5.8,1125,NoSeq
HUNTED,3/14/2003,42751680,68664168,33486396,5.8,1021,NoSeq
HUSTLE AND FLOW,7/22/2005,26090258,3290247,20467098,7.5,265,NoSeq
I HEART HUCKABEES,10/1/2004,15535154,24301336,17593074,6.6,166,NoSeq
I ROBOT,7/16/2004,175942912,145808016,32360874,7,895,NoSeq
ICE AGE,3/31/2006,222472240,91116176,37117656,6.9,1197,Seq
ICE HARVEST,11/23/2005,10595514,18801410,18348884,6.2,1323,NoSeq
ICE PRINCESS,3/18/2005,28675078,11750881,21179906,6,894,NoSeq
IDENTITY,4/25/2003,65118024,34956304,27464916,7.3,864,NoSeq
IDLEWILD,8/25/2006,14317978,17084282,18188268,5.8,595,NoSeq
ILLUSIONIST,8/18/2006,45408476,18792710,13282688,7.6,425,NoSeq
IN GOOD COMPANY,12/29/2004,55658152,18226002,31654800,6.5,907,NoSeq
IN HER SHOES,10/7/2005,38637592,41128084,30803054,6.8,668,NoSeq
IN LAWS,5/23/2003,25534870,49937580,36093512,5.6,913,NoSeq
INCREDIBLES,11/5/2004,317668384,111786152,52007904,8.2,1415,NoSeq
INSIDE MAN,3/24/2006,100812640,51252848,36649200,7.7,1105,NoSeq
INTERPRETER,4/22/2005,85438496,94007048,38185664,6.5,1173,NoSeq
INTO THE BLUE,9/30/2005,22093106,58754408,14371561,5.7,1645,NoSeq
INTOLERABLE CRUELTY,10/10/2003,44104404,74906368,31609612,6.5,791,NoSeq
INVINCIBLE,8/25/2006,65839352,45558088,26564804,7,1406,NoSeq
ISLAND,7/22/2005,42090380,148061104,29563692,6.9,1480,NoSeq
ITALIAN JOB,5/30/2003,132495136,74906368,49025592,6.9,1003,NoSeq
JACKASS NUMBER TWO,9/22/2006,82891472,13097950,13945673,6.1,1438,Seq
JARHEAD,11/4/2005,73628928,84606344,37691892,7.2,1077,NoSeq
JEEPERS CREEPERS 2,8/29/2003,44528364,21223470,12056304,5.3,1026,NoSeq
JERSEY GIRL,3/26/2004,30702500,42527340,18336818,6.2,695,NoSeq
JET LIS FEARLESS,9/22/2006,28056640,19362186,13820275,7.7,857,NoSeq
JOHN TUCKER MUST DIE,7/28/2006,46710376,20501138,13533486,5.5,735,NoSeq
JOHNNY ENGLISH,7/18/2003,35059132,49937580,21468790,5.8,750,NoSeq
JOHNSON FAMILY VACATION,4/7/2004,37914900,14580802,12194655,3.8,349,NoSeq
JUNGLE BOOK 2,2/14/2003,59802224,24968790,15164044,5.2,1137,NoSeq
JUST LIKE HEAVEN,9/16/2005,56778060,68155112,27823854,6.8,1468,NoSeq
JUST MARRIED,1/10/2003,70071360,22471910,30082768,5.1,838,NoSeq
JUST MY LUCK,5/12/2006,19734226,31890660,16032803,5,731,NoSeq
KANGAROO JACK,1/17/2003,83564248,74906368,32790262,5.1,993,NoSeq
KICKING AND SCREAMING,5/13/2005,62094856,52878964,35457464,5.4,1208,NoSeq
KILL BILL VOL 1,10/10/2003,87514416,37453184,8186642,8.2,482,NoSeq
KILL BILL VOL 2,4/16/2004,80447368,36452004,20296594,8.1,783,NoSeq
KING ARTHUR,7/7/2004,63040392,145808016,39327336,6.2,790,NoSeq
KING KONG,12/14/2005,256263248,243243248,51489568,7.7,1473,NoSeq
KINGDOM OF HEAVEN,5/6/2005,55697312,152761456,43350048,7.1,721,NoSeq
KINSEY,11/12/2004,12460485,13365735,14272054,7.2,147,NoSeq
KUNG FU HUSTLE,4/8/2005,20104102,23501762,22051350,7.7,382,NoSeq
LADDER 49,10/1/2004,90573152,72904008,38436572,6.5,950,NoSeq
LADY IN THE WATER,7/21/2006,48160784,79726648,34063212,5.8,1153,NoSeq
LADYKILLERS,3/26/2004,48358676,42527340,31847138,6.2,613,NoSeq
LAKE HOUSE,6/16/2006,59601492,45558088,33304216,6.9,998,NoSeq
LARA CROFT TOMB RAIDER,7/25/2003,81972776,118601744,52242716,5.3,977,NoSeq
LARRY THE CABLE GUY HEALTH INSPECTOR,3/24/2006,17858882,4555809,8063213,2.9,781,NoSeq
LAST HOLIDAY,1/13/2006,43735720,51252848,22433598,6.3,1355,NoSeq
LAST KING OF SCOTLAND,9/27/2006,20053170,6833713,13922322,7.8,151,NoSeq
LAST SAMURAI,12/5/2003,138735664,174781520,68084208,7.8,1173,NoSeq
LAWS OF ATTRACTION,4/30/2004,21714770,38882140,22065606,5.7,1228,NoSeq
LEAGUE OF EXTRAORDINARY GENTLEMEN,7/11/2003,82977784,97378280,36689888,5.4,797,NoSeq
LEGALLY BLONDE 2,7/2/2003,112592168,56179776,21273282,4.3,1389,NoSeq
LEGEND OF ZORRO,10/28/2005,54599320,88131608,29031374,5.7,1741,NoSeq
LEMONY SNICKETS A SERIES OF UNFORTUNATE EVENTS,12/17/2004,144148912,170109360,53528184,6.9,1134,NoSeq
LETTERS FROM IWO JIMA,12/20/2006,15667519,21640092,14850683,7.9,239,NoSeq
LIFE AQUATIC WITH STEVE ZISSOU,12/10/2004,29186394,60753340,24360878,7.2,428,NoSeq
LIFE OF DAVID GALE,2/21/2003,24913356,47440700,25334334,7.3,662,NoSeq
LITTLE BLACK BOOK,8/6/2004,25150264,42527340,20454554,5.2,1290,NoSeq
LITTLE MAN,7/14/2006,66793908,72892936,26711850,3.2,1471,NoSeq
LITTLE MISS SUNSHINE,7/26/2006,68213096,9111617,20187242,7.9,365,NoSeq
LIZZIE MCGUIRE MOVIE,5/2/2003,53351380,21223470,20776402,4.7,939,NoSeq
LONGEST YARD,5/27/2005,185804304,96357224,52178496,6.2,1216,NoSeq
LOONEY TUNES BACK IN ACTION,11/14/2003,26206446,99875160,36517228,5.9,913,NoSeq
LORD OF THE RINGS THE RETURN OF THE KING,12/17/2003,470695776,117353312,74705128,8.8,1476,Seq
LORD OF WAR,9/16/2005,28377946,58754408,16205994,7.7,1233,NoSeq
LORDS OF DOGTOWN,6/3/2005,13247376,29377204,31207286,6.9,1175,NoSeq
LOST IN TRANSLATION,9/12/2003,55662240,4993758,24545564,7.8,361,NoSeq
LOVE ACTUALLY,11/7/2003,74527024,49937580,43706496,7.7,672,NoSeq
LUCKY NUMBER SLEVIN,4/7/2006,25621260,30751708,18289976,7.8,508,NoSeq
MADAGASCAR,5/27/2005,227491792,91656872,52708704,6.5,1530,NoSeq
MALIBUS MOST WANTED,4/18/2003,42986520,18726592,26969916,4.8,876,NoSeq
MAN OF THE HOUSE,2/25/2005,23148890,23501762,18184608,5.3,1421,NoSeq
MAN OF THE YEAR,10/13/2006,42514112,22779044,31004670,6.2,1752,NoSeq
MAN ON FIRE,4/21/2004,94668016,85054680,32243624,7.6,867,NoSeq
MANCHURIAN CANDIDATE,7/30/2004,80140496,97205344,45402656,6.7,971,NoSeq
MARCH OF THE PENGUINS,6/24/2005,90995560,9400705,26890478,7.7,943,NoSeq
MARIE ANTOINETTE,10/20/2006,18180490,45558088,12565375,6.4,540,NoSeq
MARINE,10/13/2006,21463308,22779044,9282689,4.5,628,NoSeq
MASTER AND COMMANDER THE FAR SIDE OF THE WORLD,11/14/2003,117263320,187265920,18674034,7.5,804,NoSeq
MATADOR,12/30/2005,14799880,14688602,7058519,6.8,275,NoSeq
MATCH POINT,12/28/2005,27205086,17626322,12552996,7.8,349,NoSeq
MATRIX RELOADED,5/15/2003,351531168,187265920,41199380,7,931,Seq
MATRIX REVOLUTIONS,11/5/2003,173925024,187265920,37769908,6.4,968,Seq
MEAN GIRLS,4/30/2004,104566288,20656136,32095020,7,1043,NoSeq
MEDALLION,8/22/2003,27739316,51186016,20468040,4.7,1032,NoSeq
MEET THE FOCKERS,12/22/2004,339320960,97205344,47153100,6.4,1573,Seq
MEMOIRS OF A GEISHA,12/9/2005,67556416,99882488,40917396,7.2,735,NoSeq
MIAMI VICE,7/28/2006,72267048,153758544,30175738,6.1,1235,NoSeq
MILLION DOLLAR BABY,12/15/2004,122104744,36452004,44696960,8.1,967,NoSeq
MIRACLE,2/6/2004,78223688,34021872,34969868,7.4,1172,NoSeq
MISS CONGENIALITY 2,3/24/2005,56965928,70505288,33313044,4.8,1150,NoSeq
MISSING,11/26/2003,33721824,81148568,36242576,6.4,782,NoSeq
MISSION IMPOSSIBLE 3,5/5/2006,152653536,170842832,47644984,6.9,1996,Seq
MONA LISA SMILE,12/19/2003,79726520,81148568,46561816,6.1,1330,NoSeq
MONSTER,12/24/2003,43032720,9987516,12527466,7.3,419,NoSeq
MONSTER HOUSE,7/21/2006,83896368,85421416,30346470,6.9,1279,NoSeq
MONSTER IN LAW,5/13/2005,97451584,50528788,31597060,5.1,1116,NoSeq
MR 3000,9/17/2004,26502050,36452004,24898298,5.6,744,NoSeq
MR AND MRS SMITH,6/10/2005,218961552,129259696,32702820,6.4,942,NoSeq
MUNICH,12/23/2005,55703508,82256168,46614804,7.6,679,NoSeq
MUST LOVE DOGS,7/29/2005,51580332,35252644,32223854,5.9,914,NoSeq
MY BABYS DADDY,1/9/2004,21469400,14580802,10315431,4,453,NoSeq
MY BOSSS DAUGHTER,8/22/2003,19413988,17478152,14489511,4.3,682,NoSeq
MY SUPER EX GIRLFRIEND,7/21/2006,25660928,34168564,118451,5.4,646,NoSeq
MYSTIC RIVER,10/8/2003,112528328,31210986,71588832,8,728,NoSeq
NACHO LIBRE,6/16/2006,91341680,39863324,33385762,5.7,1207,NoSeq
NANNY MCPHEE,1/27/2006,53694888,28473804,26909794,6.7,1000,NoSeq
NAPOLEON DYNAMITE,6/11/2004,54120240,486027,19056016,6.8,359,NoSeq
NATIONAL TREASURE,11/19/2004,210217376,121506680,48558692,6.8,1050,NoSeq
NATIVITY STORY,12/1/2006,42858576,39863324,22255922,6.6,1848,NoSeq
NEW WORLD,12/25/2005,14937830,35252644,15136545,6.7,304,NoSeq
NEW YORK MINUTE,5/7/2004,17097742,36452004,23248726,3.9,1191,NoSeq
NIGHT AT THE MUSEUM,12/22/2006,285721248,125284736,40651368,6.4,1328,NoSeq
